"分类","编号","零件","每套所需数量","文件","尺寸包围盒_mm","注意"
"完整件","ARD_01_Base","底座壳","1","01_所有完整打印件\01_底座壳_打印1件__Base_RevC_mm.stl","129.995 x 129.995 x 56","整套数量；文件本身仅含一个零件"
"完整件分类副本_无专用接口试片","ARD_01_Base","底座壳","1","03_不单独打印试片的零件\01_底座壳_打印1件__Base_RevC_mm.stl","129.995 x 129.995 x 56","与01文件夹重复，不重复打印；仍需完整件试装"
"完整件","ARD_02_Foot_1","支脚","4","01_所有完整打印件\02_支脚_打印4件__Pata_de_Soporte_RevC_mm.stl","69.101 x 69.021 x 12.892","整套数量；文件本身仅含一个零件"
"完整件分类副本_无专用接口试片","ARD_02_Foot_1","支脚","4","03_不单独打印试片的零件\02_支脚_打印4件__Pata_de_Soporte_RevC_mm.stl","69.101 x 69.021 x 12.892","与01文件夹重复，不重复打印；仍需完整件试装"
"完整件","ARD_03_Waist","回转盘与肩部支架","1","01_所有完整打印件\03_回转盘与肩部支架_打印1件__Waist_RevC_mm.stl","96.985 x 97 x 65.276","整套数量；文件本身仅含一个零件"
"完整件","ARD_04_Arm_01","大臂","1","01_所有完整打印件\04_大臂_打印1件__Arm_01_RevC_mm.stl","43.224 x 166.676 x 21.201","整套数量；文件本身仅含一个零件"
"完整件","ARD_05_Arm_02_v3","小臂","1","01_所有完整打印件\05_小臂_打印1件__Arm_02_v3_RevC_mm.stl","38 x 115 x 27","整套数量；文件本身仅含一个零件"
"完整件分类副本_无专用接口试片","ARD_05_Arm_02_v3","小臂","1","03_不单独打印试片的零件\05_小臂_打印1件__Arm_02_v3_RevC_mm.stl","38 x 115 x 27","与01文件夹重复，不重复打印；仍需完整件试装"
"完整件","ARD_06_Arm_03","腕部支架","1","01_所有完整打印件\06_腕部支架_打印1件__Arm_03_RevC_mm.stl","33 x 28 x 46","整套数量；文件本身仅含一个零件"
"完整件","ARD_07_Gripper_base","夹爪底板","1","01_所有完整打印件\07_夹爪底板_打印1件__Gripper_base_RevC_mm.stl","44.4 x 77 x 28","整套数量；文件本身仅含一个零件"
"完整件","ARD_08_gear1","从动齿轮连杆","1","01_所有完整打印件\08_从动齿轮连杆_打印1件__gear1_RevC_mm.stl","49.287 x 26.63 x 4","整套数量；文件本身仅含一个零件"
"完整件分类副本_无专用接口试片","ARD_08_gear1","从动齿轮连杆","1","03_不单独打印试片的零件\08_从动齿轮连杆_打印1件__gear1_RevC_mm.stl","49.287 x 26.63 x 4","与01文件夹重复，不重复打印；仍需完整件试装"
"完整件","ARD_09_Link_Left","夹爪短连杆","2","01_所有完整打印件\09_夹爪短连杆_打印2件__grip_link_1_RevC_mm.stl","38.996 x 7.997 x 4","整套数量；文件本身仅含一个零件"
"完整件分类副本_无专用接口试片","ARD_09_Link_Left","夹爪短连杆","2","03_不单独打印试片的零件\09_夹爪短连杆_打印2件__grip_link_1_RevC_mm.stl","38.996 x 7.997 x 4","与01文件夹重复，不重复打印；仍需完整件试装"
"完整件","ARD_10_Jaw_Left","左夹爪","1","01_所有完整打印件\10_左夹爪_打印1件__Gripper_1_RevC_mm.stl","65.314 x 20.394 x 15.5","整套数量；文件本身仅含一个零件"
"完整件分类副本_无专用接口试片","ARD_10_Jaw_Left","左夹爪","1","03_不单独打印试片的零件\10_左夹爪_打印1件__Gripper_1_RevC_mm.stl","65.314 x 20.394 x 15.5","与01文件夹重复，不重复打印；仍需完整件试装"
"完整件","ARD_08_gear2","主动齿轮连杆","1","01_所有完整打印件\11_主动齿轮连杆_打印1件__gear2_RevC_mm.stl","49.024 x 26.63 x 4","整套数量；文件本身仅含一个零件"
"完整件","ARD_10_Jaw_Right","右夹爪","1","01_所有完整打印件\12_右夹爪_打印1件__Gripper_1_1_RevC_mm.stl","65.314 x 20.393 x 15.5","整套数量；文件本身仅含一个零件"
"完整件分类副本_无专用接口试片","ARD_10_Jaw_Right","右夹爪","1","03_不单独打印试片的零件\12_右夹爪_打印1件__Gripper_1_1_RevC_mm.stl","65.314 x 20.393 x 15.5","与01文件夹重复，不重复打印；仍需完整件试装"
"局部试装片_不用于整机装配","S01","底座回转_MG996R圆盘","1","02_先打印的接口试装片\S01_底座回转_MG996R圆盘_试装1件_mm.stl","31 x 31 x 5.5","只测试局部接口，不能装入整机"
"局部试装片_不用于整机装配","S02","肩关节_MG996R圆盘","1","02_先打印的接口试装片\S02_肩关节_MG996R圆盘_试装1件_mm.stl","31 x 31 x 6.2","只测试局部接口，不能装入整机"
"局部试装片_不用于整机装配","S03","肘关节_MG996R圆盘","1","02_先打印的接口试装片\S03_肘关节_MG996R圆盘_试装1件_mm.stl","31 x 31 x 6.2","只测试局部接口，不能装入整机"
"局部试装片_不用于整机装配","S04","腕旋转_MG90S双臂","1","02_先打印的接口试装片\S04_腕旋转_MG90S双臂_试装1件_mm.stl","27 x 28 x 6","只测试局部接口，不能装入整机"
"局部试装片_不用于整机装配","S05","腕俯仰_MG90S十字长臂","1","02_先打印的接口试装片\S05_腕俯仰_MG90S十字长臂_试装1件_mm.stl","28 x 29.5 x 6.031","只测试局部接口，不能装入整机"
"局部试装片_不用于整机装配","S06","夹爪驱动_MG90S单臂","1","02_先打印的接口试装片\S06_夹爪驱动_MG90S单臂_试装1件_mm.stl","30.037 x 26.63 x 4","只测试局部接口，不能装入整机"
